,source_id,source_name,author,title,description,content
28,cnn,CNN,,Trump says regular coronavirus briefings will resume,President Donald Trump said he'll resume regular coronavirus briefings as the country experiences a resurgence of cases. CNN's Kaitlan Collins reports.,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
29,cnn,CNN,,US hits grim milestone in coronavirus deaths,"The US reached a grim milestone in the coronavirus pandemic as more than 150,000 people have died, according to data from Johns Hopkins University. CNN's NIck Watt reports.",Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
30,cnn,CNN,,Trump's coronavirus claim leaves Anderson Cooper astonished,"CNN's Anderson Cooper takes President Donald Trump to task for saying the 160,000 US coronavirus deaths ""is what it is"" and saying Covid-19 is under control.",Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
31,cnn,CNN,,Lemon: Trump is beaten by the coronavirus,"CNN's Don Lemon gives his take on President Donald Trump announcement that there will not be Republican convention activities in Jacksonville, Florida.",Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
32,cnn,CNN,,This makes you more vulnerable to coronavirus,"CNN's Dr. Sanjay Gupta explains what factors make people likely to face severe illness, hospitalization or even death from Covid-19.",Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
33,cnn,CNN,"Madeline Holcombe, CNN","Texas coronavirus cases soar past 500,000","As Texas soars past 500,000 Covid-19 cases, state officials are redoubling their efforts to get residents to wear masks and practice social distancing, after suggesting that the surge has been driven by people letting their guard down.","(CNN)As Texas soars past 500,000 Covid-19 cases, state officials are redoubling their efforts to get residents to wear masks and practice social distancing, after suggesting that the surge has been d… [+6352 chars]"
34,cnn,CNN,"Charles Riley, CNN Business",Reluctant shoppers could slow the coronavirus recovery,"Retail sales data from the world's two largest economies could set the tone on Wall Street on Friday. The first round, from China, suggest the coronavirus recovery could take longer than expected.",
35,bbc-news,BBC News,https://www.facebook.com/bbcnews,The civilian heroes of India's plane crash tragedy,Dozens of locals in Kerala rushed to help when a coronavirus transport flight slid of the runway.,"Image caption
 This image of a policeman saluting civilian rescuers went viral on social media
When an Air India Express plane with 190 people on board crashed at an airport in the southern Indian … [+5910 chars]"
36,cnn,CNN,"Betsy Klein, CNN",Birx warns of concerning rise in coronavirus cases in 12 cities as Trump paints a rosy picture,White House coronavirus task force coordinator Dr. Deborah Birx privately told a group of state and local health officials Wednesday about a concerning rise in coronavirus cases in 12 cities as President Donald Trump continues to tout progress amid the corona…,(CNN)White House coronavirus task force coordinator Dr. Deborah Birx privately told a group of state and local health officials Wednesday about a concerning rise in coronavirus cases in 12 cities as … [+4052 chars]
37,bbc-news,BBC News,https://www.facebook.com/bbcnews,HSBC's profits slump 65% amid coronavirus downturn,The UK's biggest bank saw a larger-than-expected drop in earnings as it feels the effects of the pandemic.,"Image copyrightReuters
HSBC's profits for the first half of this year have plunged 65% as it battles the coronavirus downturn.
The UK's biggest bank posted pre-tax profits of $4.3bn, compared to $1… [+2913 chars]"
38,bbc-news,BBC News,https://www.facebook.com/bbcnews,Coronavirus: Thousands protest in Germany against restrictions,"Demonstrators march though Berlin, saying face masks and other measures violate their rights.","Image copyrightReutersImage caption
 The mood is peaceful but few people are wearing masks
Thousands of people in the German capital Berlin are taking part in a protest against the country's corona… [+1458 chars]"
39,bbc-news,BBC News,https://www.facebook.com/bbcnews,India coronavirus: Bihar braces for 'corona storm',Cases are rising fast in one of India's poorest and most populous states. Can it cope?,"Image copyrightGetty ImagesImage caption
 Bihar has ramped up coronavirus testing but it's still too low, say experts
When Gopal Singh complained of severe chest pain on 18 July, his family got wor… [+8205 chars]"
40,bbc-news,BBC News,https://www.facebook.com/bbcnews,Coronavirus: Are mutations making it more infectious?,While there have been thousands of changes to the virus only one is seen as possibly altering its behaviour.,"Image copyrightGetty ImagesImage caption
 University College Hospital in London, where the changing virus is being studied
The coronavirus that is menacing the world right now is not the same as th… [+6309 chars]"
41,bbc-news,BBC News,https://www.facebook.com/bbcnews,Coronavirus spike continues amid new Catalonia restrictions,"The region has the worst of Spain's 150 new clusters, prompting France to consider border closures.","Image copyrightAFPImage caption
 Mask-wearing is encouraged in Barcelona as the region endures new restrictions
Spain's north-eastern Catalonia region has again recorded a daily Covid-19 infection … [+2237 chars]"
42,bbc-news,BBC News,https://www.facebook.com/bbcnews,'My Tanzanian family is split over coronavirus',Sammy Awami writes that his relatives are divided over the Tanzanian leader's policy on Covid-19.,"Image copyrightGetty Images
BBC Tanzania reporter Sammy Awami writes that President John Magufuli's faith-based approach to coronavirus has caused tension in his family.
Since the first case of cor… [+6240 chars]"
43,bbc-news,BBC News,https://www.facebook.com/bbcnews,Coronavirus: Putin memes flood social media,False and misleading claims are made online after Russia announced the rollout of a vaccine.,"Image copyrightSechenov Medical University Press OfficeImage caption
 Volunteers are taking part in vaccine trials around the world, including in Russia
The announcement that Russia is forging ahea… [+5513 chars]"
44,,Gizmodo.com,Ed Cara,Experimental Coronavirus Vaccine Found Safe in UK Human Trial,"A study from the UK is the latest to provide some early hope for an effective vaccine against the coronavirus that causes covid-19. Earlier today, Oxford University researchers revealed the promising results from an early phase clinical trial of their vaccine…","A study from the UK is the latest to provide some early hope for an effective vaccine against the coronavirus that causes covid-19. Earlier today, Oxford University researchers revealed the promising… [+3753 chars]"
45,,Gizmodo.com,Rhett Jones,"Apparently, the Coronavirus Is Coming for Our Pizza Toppings","“I’ll just hunker down and ride this out,” you said. “I’ll just call the pizza guy and get my vital nourishment delivered,” you said. But the coronavirus comes for everything that’s good.Read more...","Ill just hunker down and ride this out, you said. Ill just call the pizza guy and get my vital nourishment delivered, you said. But the coronavirus comes for everything thats good.
According to a re… [+1942 chars]"
46,,Gizmodo.com,Jody Serrano,"Brazilian President Announces He Is Over Coronavirus, Poses With Hydroxychloroquine","Infamous coronavirus skeptic Jair Bolsonaro, the president of Brazil, triumphantly declared on Saturday that he had recovered from covid-19, the disease caused by the novel coronavirus. To celebrate, Bolsonaro posted a photo of himself doing a thumbs-up with …","Infamous coronavirus skeptic Jair Bolsonaro, the president of Brazil, triumphantly declared on Saturday that he had recovered from covid-19, the disease caused by the novel coronavirus. To celebrate,… [+3079 chars]"
47,cnn,CNN,,Couple marries in hospital as groom fights coronavirus,CNN's Don Lemon talks with a couple in Texas who got married in the hospital as the groom continues his battle with coronavirus.,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
48,cnn,CNN,,Fareed: Washington is fiddling while America burns,CNN's Fareed Zakaria breaks down the economic gridlock between House Democrats and Republicans that is preventing a second coronavirus relief package.,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
49,cnn,CNN,"Analysis by Chris Cillizza, CNN Editor-at-large",Analysis: The 1 thing NOT to expect from Trump's daily briefings,"On Monday, President Donald Trump totally reversed course on how he is handling the ongoing coronavirus pandemic -- posting a picture wearing a mask and announcing that he would restart the coronavirus daily(ish) briefings that ended in late April.","THE POINT -- NOW ON YOUTUBE! 
In each episode of his weekly YouTube show, Chris Cillizza will delve a little deeper into the surreal world of politics. Click to subscribe!"
50,cnn,CNN,"Sharon Braithwaite and Amy Woodyatt, CNN",90-minute tests that detect Covid-19 and other viruses to be rolled out in UK,"The British government has procured ""millions"" of two separate coronavirus tests that can detect not only coronavirus but several other viruses common in autumn, winter and spring, the UK's Department of Health said Monday.",
51,cnn,CNN,,'You think everything is fine?' Keilar grills GOP lawmaker,CNN's Briana Keilar presses Texas Rep. Chip Roy on the federal coronavirus response after Roy said he wants a second opinion to Dr. Anthony Fauci's and the White House coronavirus task force.,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
52,cnn,CNN,,Keilar: Dr. Atlas wouldn't know science if it kicked him in the Atlas,"Months into the coronavirus pandemic, President Donald Trump announced Dr. Scott Atlas as a medical adviser for the White House coronavirus task force. CNN's Brianna Keilar breaks down Dr. Atlas's controversial stance on Covid-19.",Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
