Job-Title,Company Name,Segmentation,Skills they are looking for,Date Posted
Associate Client Support Engineer,FactSet Systems India Pvt Ltd,Information Technology,"['Web', 'technologiesNetworkingAnalyticalClient', 'supportManagementTroubleshootingInformation', 'technologyTechnical', 'documentation']",30+ Days Ago
TTEC  -  Network Sustaining Engineer,TTEC,Information Technology,"['SANFrenchWANNetwork', 'operationsNetwork', 'engineeringVOIPSMSCCNA']",30+ Days Ago
TTEC  -  Network Security Engineer,TTEC,Information Technology,"['TelecomSANNetwork', 'administrationVPNNetwork', 'securitySMSCCNAcisco']",30+ Days Ago
TTEC  -  Omnichannel Support Engineer,TTEC,Information Technology,"['SANNetwork', 'administrationFrenchHelpdeskVOIPSMSWorkflowCustomer', 'support']",30+ Days Ago
Infrastructure solution engineer,Anantha Cyber Tech Pvt Limited,Information Technology,"['Hardware', 'networkingNetwork', 'administrationSalesInfrastructureInformation', 'technologyVirtualization']",30+ Days Ago
AVP - Directory Services Engineer,Anantha Cyber Tech Pvt Limited,Information Technology,"['Networking', 'protocolsSalesRDBMSPowershellActive', 'directoryFinancial', 'operationsSAMLDirectory', 'services']",30+ Days Ago
Java Engineering Manager,"CDK GLOBAL, LLC.",Information Technology,"['IT', 'SkillsJavaTestingQuality', 'AssuranceCloudCloud', 'computingJSONScrum']",10 Days Ago
Engineering Manager,"CDK GLOBAL, LLC.",Information Technology,"['Cloud', 'computingC++JSONScrumMVCVisual', 'StudioCustomer', 'serviceInformation', 'technology']",10 Days Ago
Product Support Team Lead,OpsRamp,Information Technology,"['NetworkingLinuxTechnical', 'writingMySQLmicrosoftciscoService', 'qualityInformation', 'technology']",30+ Days Ago
Cloud Engineer (GCP),Virtusa Consulting Services Pvt Ltd,Information Technology,"['GKEDevopsIAM', 'ConceptsJenkinsSaltDockerLinuxTerraform']",25 Days Ago
Customer Success Manager,Zyme India,Information Technology,"['Supply', 'chainData', 'managementProduction', 'supportAnalyticalConsultingCustomer', 'retentionCustomer', 'supportOperations']",30+ Days Ago
Tibco Spotfire Developer,Anantha Cyber Tech Pvt Limited,Information Technology,"['IT', 'SkillsJavaPythonOracleSalesTIBCOInformation', 'technology']",30+ Days Ago
IT Risk Management,Orcapod Consulting Services Private Limited,Information Technology,"['SOX', 'ComplianceRisk', 'GovernanceMetrics', 'ReportingIssueOperational', 'RiskVulnerabilityOperationsRisk', 'Control']",30+ Days Ago
Business Analyst,Pamten Software Solutions Pvt. Ltd.,Information Technology,"['Computer', 'scienceBusiness', 'processSystem', 'testingPMPProject', 'managementAgileBusiness', 'intelligenceInformation', 'technology']",30+ Days Ago
Mobile Test Automation,Prolifics,Information Technology,"['Computer', 'scienceSocial', 'mediaBlack', 'Box', 'TestingJavascriptHealthcareSeleniumRubyInformation', 'technology']",26 Days Ago
SAPCAR with embeded analytics,CGI Information Systems and Management Consultants,Information Technology,"['SAPTest', 'scriptsCGIAnalyticalSystem', 'integrationSchedulingInformation', 'technologyABAP']",26 Days Ago
Full Stack Developer,Biarca,Information Technology,"['Computer', 'sciencegithubFront', 'endWeb', 'servicesSpring', 'frameworkJavascriptHTMLJIRA']",30+ Days Ago
Software Developer,AGI INDUSTRIES PRIVATE LIMITED,Information Technology,"['IT', 'SkillsSoftware', 'Developmentweb', 'servicesfunctionsjqueryjavaj2eehtml']",Not Found
Senior Systems Engineer,ServiceNow,Information Technology,"['Computer', 'scienceERPAutomationSAPAgileScrumTroubleshootingInformation', 'technology']",30+ Days Ago
Information Security Engineer,Sahasya Global Solutions,Information Technology,"['PCI', 'DSSLinuxNetworkingOperating', 'systemsIT', 'securityInformation', 'securitySOCInfrastructure']",30+ Days Ago
